synthetic_graph_id,synthetic_contract,synthetic_interaction_id,family,template_split,template_graph_id,template_interaction_id,template_function,call_method,state_variable,source_hash,label
SYNTH_REENTRANCY::00010::SyntheticReentrancy00010,SyntheticReentrancy00010,i:collect10,collect,test,DAPP::DAppSCAN-source/contracts/ImmuneBytes-Bird Money(MasterChef)-Audit Report/bird-farm-contracts-dfd2502b73c8f54c9081682c3eb070fcd3c00629::MasterChef,i:deposit,deposit,call,balances10,33ea033a2ca57a38ce6c67b70ea95641bdd01a7ba0758eea4439b6c586744e0d,1
SYNTH_REENTRANCY::00011::SyntheticReentrancy00011,SyntheticReentrancy00011,i:harvest11,harvest,train,DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::MasterMilker,i:emergencyWithdraw,emergencyWithdraw,transfer,credits11,c28fdf8f09c62bc3e1a2983ebd4eaab2eed1d1940d37d4548d61eb41c6c5a5c9,1
SYNTH_REENTRANCY::00012::SyntheticReentrancy00012,SyntheticReentrancy00012,i:withdraw12,withdraw,train,DAPP::DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db::MasterChef,i:setPoolStrategy,setPoolStrategy,send,pendingRewards12,79344c2a904436ae0546f4d92ed07a2dc0acf1f03dce28896c3c2a4007d7428e,1
SYNTH_REENTRANCY::00013::SyntheticReentrancy00013,SyntheticReentrancy00013,i:claimReward13,claimReward,train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::CoreVoting,i:execute,execute,safeTransfer,withdrawalRequests13,0d609c267524ab5ff1a9f8428886c36b10e3d17b72e625460fb3be0e8f97b50d,1
SYNTH_REENTRANCY::00014::SyntheticReentrancy00014,SyntheticReentrancy00014,i:refund14,refund,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::WETHGateway,i:addLiquidityETH,addLiquidityETH,transfer,shares14,0c98d5fd5993981dd0cde234e2050e51f52d9d9649f639c0b0f73b7b39ac5232,1
SYNTH_REENTRANCY::00015::SyntheticReentrancy00015,SyntheticReentrancy00015,i:unstake15,unstake,train,DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::AToken,i:borrowFresh,borrowFresh,call,stakes15,221d9c2f77abd617eca9166ad5135c234791ae87a000e5454be49e72e20e7104,1
SYNTH_REENTRANCY::00016::SyntheticReentrancy00016,SyntheticReentrancy00016,i:redeem16,redeem,train,FORGE::vfp_00088::EnjoyoorsVaultWithdrawals,i:_claimWithdrawal,_claimWithdrawal,transfer,claims16,32e7895f297c0bd6739b0654b7cb29bc98b6be210fb20a8c8b92ce902b5a51ad,1
SYNTH_REENTRANCY::00017::SyntheticReentrancy00017,SyntheticReentrancy00017,i:payout17,payout,test,FORGE::vfp_00126::SpokePool,i:_setOftMessenger,_setOftMessenger,send,escrowed0,38b545e4acb820a85b2874af99e30e7c1452352272bc5aeed8d7965fb1bb8c5c,1
SYNTH_REENTRANCY::00018::SyntheticReentrancy00018,SyntheticReentrancy00018,i:release18,release,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295::yDelegatedVault,i:claimInsurance,claimInsurance,safeTransfer,payouts1,52a4ab67a599b434b08e542d21fcb238a141b11f0aff0ffc1123193ad40de6e1,1
SYNTH_REENTRANCY::00019::SyntheticReentrancy00019,SyntheticReentrancy00019,i:exit19,exit,train,DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::MasterChef,i:withdraw,withdraw,transfer,positions2,d9f25b6543ce2cae0dbfc80f5e52424da87f518b3ee79992906a98c206e2c273,1
SYNTH_REENTRANCY::00020::SyntheticReentrancy00020,SyntheticReentrancy00020,i:claim20,claim,train,FORGE::vfp_00221::LimitOrderHook,i:_handlePlaceCallback,_handlePlaceCallback,call,balances3,a17da77a6bdee4f89b9140bf8e6724cdc2c58a2b8e4a59d8865f51cee08f023e,1
SYNTH_REENTRANCY::00021::SyntheticReentrancy00021,SyntheticReentrancy00021,i:settle21,settle,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Keep3r.Network-Keep3r.Network/StakingRewardsV3-13ecc6966ae1a413f62224382bfd4d64b1a22351::StakingRewardsV3,i:deposit,deposit,transfer,credits4,536f8d96339967860d4f796302f3bb92ef52cd77b6b1af893900eb7da18bc664,1
SYNTH_REENTRANCY::00022::SyntheticReentrancy00022,SyntheticReentrancy00022,i:collect22,collect,val,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,i:_allocate,_allocate,send,pendingRewards5,21cb9ce84210e36701a6986efec49c7af94232395aabcde01a7b92297c109884,1
SYNTH_REENTRANCY::00023::SyntheticReentrancy00023,SyntheticReentrancy00023,i:harvest23,harvest,train,DAPP::DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db::MasterChef,i:withdraw,withdraw,safeTransfer,withdrawalRequests6,7a27ce0ce875aefa7e48a80b061161ffe5183657093f075ca4dcd85a9eccf905,1
SYNTH_REENTRANCY::00024::SyntheticReentrancy00024,SyntheticReentrancy00024,i:withdraw24,withdraw,train,DAPP::DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db::MasterChef,i:add,add,transfer,shares7,38f4c766ba63df760128ef2639a794626c2b09cd0b671e10f96a43214898b11a,1
SYNTH_REENTRANCY::00025::SyntheticReentrancy00025,SyntheticReentrancy00025,i:claimReward25,claimReward,train,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::SinglePool,i:emergencyWithdraw,emergencyWithdraw,call,stakes8,3406fc52e94ce746e4dc40ea0915b35a51b2be3a56ee4c2e1a290c6eb5498dd8,1
SYNTH_REENTRANCY::00026::SyntheticReentrancy00026,SyntheticReentrancy00026,i:refund26,refund,test,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876::ImpossibleWrappedToken,i:deposit,deposit,transfer,claims9,e144b2da612698aa919ef9f29fdfd47358ab76eb55400714bed758c2781830bc,1
SYNTH_REENTRANCY::00027::SyntheticReentrancy00027,SyntheticReentrancy00027,i:unstake27,unstake,train,DAPP::DAppSCAN-source/contracts/consensys-Connext NXTP — Noncustodial Xchain Transfer Protocol/nxtp-0656436d654cfe0313fa3c2bbc81aa86232ade16::TransactionManager,i:removeLiquidity,removeLiquidity,send,escrowed10,13c3be2548ed797141749f6cebb8cf8d0e8f5c48050cb0f2cbc08fb91b291bf9,1
SYNTH_REENTRANCY::00028::SyntheticReentrancy00028,SyntheticReentrancy00028,i:redeem28,redeem,train,DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::GovernorV1,i:propose,propose,safeTransfer,payouts11,37ac01423d0e9a0942fc73fb0c6440968301a9908b96770e8ded6232a69d2a1a,1
SYNTH_REENTRANCY::00029::SyntheticReentrancy00029,SyntheticReentrancy00029,i:payout29,payout,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295::yWETH,i:depositETH,depositETH,transfer,positions12,0cc72b8e26eb4a20fe1553495a5155f5731c98a7266dda841671a858b0d183cb,1
SYNTH_REENTRANCY::00030::SyntheticReentrancy00030,SyntheticReentrancy00030,i:release30,release,train,DAPP::DAppSCAN-source/contracts/PeckShield-ShibaNova/Contracts-b6b1ce1fcaff83d360df8944309f49958842b7b8::MasterShiba,i:withdraw,withdraw,call,balances13,f8378b892933e63c01ea5cdcf0b5334488989c05dd3b98c1e7d55d56eee36f8b,1
SYNTH_REENTRANCY::00031::SyntheticReentrancy00031,SyntheticReentrancy00031,i:exit31,exit,train,FORGE::vfp_00221::LimitOrderHook,i:cancelOrder,cancelOrder,transfer,credits14,5316ed7838826de3f5a35c709103abeb0c001670c3b178365fa7204aab6c8c34,1
SYNTH_REENTRANCY::00032::SyntheticReentrancy00032,SyntheticReentrancy00032,i:claim32,claim,train,DAPP::DAppSCAN-source/contracts/PeckShield-PikaPerpV2/PikaPerpV2-4a0965ff90ed099b7e2d3e8dda47cd589ee8e3a2::PikaPerpV2,i:closePositionWithId,closePositionWithId,send,pendingRewards15,4eb5f4076828d9830ad2be6da61ab45d4a9be89faf1fae8985ff53251ae240c5,1
SYNTH_REENTRANCY::00033::SyntheticReentrancy00033,SyntheticReentrancy00033,i:settle33,settle,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::UniswapV3Adapter,i:exactInputSingle,exactInputSingle,safeTransfer,withdrawalRequests16,2647fd938cd4bb15f9c1c62944777b7f8c6f99223bf50831ff55a3081fe6b425,1
SYNTH_REENTRANCY::00034::SyntheticReentrancy00034,SyntheticReentrancy00034,i:collect34,collect,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::PoolService,i:lendCreditAccount,lendCreditAccount,transfer,shares0,3e964112aa9523d438ca1063594edfc32c306de999948f348cb36d2ead2ad357,1
SYNTH_REENTRANCY::00035::SyntheticReentrancy00035,SyntheticReentrancy00035,i:harvest35,harvest,val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::ClockAuctionBase,i:setGeneScienceAddress,setGeneScienceAddress,call,stakes1,98ba6f4792521e269923ead09306ead227629048788cc3729e9bd850e487b4f4,1
SYNTH_REENTRANCY::00036::SyntheticReentrancy00036,SyntheticReentrancy00036,i:withdraw36,withdraw,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::UniswapV2Adapter,i:swapTokensForExactTokens,swapTokensForExactTokens,transfer,claims2,b75e147b222d80fc1a14b66fd15c3c05cc90d1ec371f9111f181aeb5593bfe8c,1
SYNTH_REENTRANCY::00037::SyntheticReentrancy00037,SyntheticReentrancy00037,i:claimReward37,claimReward,val,DAPP::DAppSCAN-source/contracts/PeckShield-TranchessV1.1/contract-core-68a86350313c1cb9e5467e791d3e9efaf228a0df::StakingV2,i:deposit,deposit,send,escrowed3,d0976dea6c912563e6d5d4e1309e02b80bb005e380a1b9cc9926b2b6dca9e539,1
SYNTH_REENTRANCY::00038::SyntheticReentrancy00038,SyntheticReentrancy00038,i:refund38,refund,train,FORGE::vfp_00224::OidcRecoveryValidator,i:startRecovery,startRecovery,safeTransfer,payouts4,6771126c6d846bb53cad1f6c0ba915da6883127b25d52f83425542959ce4c8ff,1
SYNTH_REENTRANCY::00039::SyntheticReentrancy00039,SyntheticReentrancy00039,i:unstake39,unstake,train,DAPP::DAppSCAN-source/contracts/QuillAudits-1inch-Fixed Rate Swap/fixed-rate-swap-0b5a75e9f56e7d21c290dd28c59dc140dcbcc1d5::FixedRateSwap,i:depositFor,depositFor,transfer,positions5,9dba3ecc0153aa16219485c42aa2560f45406a295566381ea8cae9adc869afe8,1
SYNTH_REENTRANCY::00040::SyntheticReentrancy00040,SyntheticReentrancy00040,i:redeem40,redeem,train,DAPP::DAppSCAN-source/contracts/PeckShield-Holdefi/Holdefi-5a1e6e0d582120142e8a531f6806eba6665ef2f4::HoldefiSettings,i:setHoldefiContract,setHoldefiContract,call,balances6,363adac099cb90df6032f45fec221cadeb6fb7774d4bf2f8e6d9a838310bd825,1
SYNTH_REENTRANCY::00041::SyntheticReentrancy00041,SyntheticReentrancy00041,i:payout41,payout,train,DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::Comptroller,i:liquidateBorrowAllowed,liquidateBorrowAllowed,transfer,credits7,58553c65e4ac6d29f4358ec27b6b0ea0ea8dc40b7cdc3276b3e0e779fc8c31f6,1
SYNTH_REENTRANCY::00042::SyntheticReentrancy00042,SyntheticReentrancy00042,i:release42,release,train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::OVM_StateTransitioner,i:applyTransaction,applyTransaction,send,pendingRewards8,676c71b520d16c67a1d140b3f5c47b5cbe153008f193850f8c98992b67982770,1
SYNTH_REENTRANCY::00043::SyntheticReentrancy00043,SyntheticReentrancy00043,i:exit43,exit,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::YearnAdapter,i:withdraw,withdraw,safeTransfer,withdrawalRequests9,0aff86ea4e1902fa06e2aea0aae48a5552a848fef3d8c6d7265c93069f7ecbbf,1
SYNTH_REENTRANCY::00044::SyntheticReentrancy00044,SyntheticReentrancy00044,i:claim44,claim,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Abyss Finance-Abyss Eth2 Depositor/abyss-eth2depositor-a2d58dea4d79846dc682fe93ac3e0eca02323d11::AbyssEth2Depositor,i:deposit,deposit,transfer,shares10,7704788466d7b4e1e49105095d12afafbff0b4f5389215aaffd3b9c89c4da275,1
SYNTH_REENTRANCY::00045::SyntheticReentrancy00045,SyntheticReentrancy00045,i:settle45,settle,train,DAPP::DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db::MasterChef,i:deposit,deposit,call,stakes11,10b9b369cec07428ecb51d242008db7b183410262d6d6bb1dd43e5d04f7cd888,1
SYNTH_REENTRANCY::00046::SyntheticReentrancy00046,SyntheticReentrancy00046,i:collect46,collect,val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::AlianaSale,i:withdrawOwnerCutSale,withdrawOwnerCutSale,transfer,claims12,cc33da69a48f9b577d2f11fb8d2fa0d869e415417de292085c9e3a9aed161531,1
SYNTH_REENTRANCY::00047::SyntheticReentrancy00047,SyntheticReentrancy00047,i:harvest47,harvest,val,FORGE::vfp_00001::AgentImageService,i:fulfillImage,fulfillImage,send,escrowed13,fe8ec91227296edf5ff70409152787b8fe33f93dc8a85bea8e4eb99aa23b0590,1
SYNTH_REENTRANCY::00048::SyntheticReentrancy00048,SyntheticReentrancy00048,i:withdraw48,withdraw,test,FORGE::vfp_00058::LikwidMarginPosition,i:_executeAddLeverage,_executeAddLeverage,safeTransfer,payouts14,6b40f26abddc53291a960ca9391a24d40c263071c407f952d4fa7b64eeed4dee,1
SYNTH_REENTRANCY::00049::SyntheticReentrancy00049,SyntheticReentrancy00049,i:claimReward49,claimReward,train,DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::CToken,i:_setComptroller,_setComptroller,transfer,positions15,d9a9e27e70b061fd7ab4bf08b6f8fd7a7d43333493f6d585a8a335208d3aeff7,1
SYNTH_REENTRANCY::00050::SyntheticReentrancy00050,SyntheticReentrancy00050,i:refund50,refund,val,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,i:_redeem,_redeem,call,balances16,e127df0ee8e6b58f923325169bc84732c926d7db82fd89f77c877051dc377e43,1
SYNTH_REENTRANCY::00051::SyntheticReentrancy00051,SyntheticReentrancy00051,i:unstake51,unstake,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::AccountFactory,i:returnCreditAccount,returnCreditAccount,transfer,credits0,c310d0c211799b292dd5c745be62223b4239689c16a6939ef5003e7ee16f903c,1
SYNTH_REENTRANCY::00052::SyntheticReentrancy00052,SyntheticReentrancy00052,i:redeem52,redeem,train,FORGE::vfp_00102::StopLimit,i:performUpkeep,performUpkeep,send,pendingRewards1,88c8e5d8214490a467f9362d66b03edb11aab9a514824ea459277ee5a061b519,1
SYNTH_REENTRANCY::00053::SyntheticReentrancy00053,SyntheticReentrancy00053,i:payout53,payout,train,FORGE::vfp_00007::Folio,i:getRebalance,getRebalance,safeTransfer,withdrawalRequests2,062102137941514fe0bc01b40271b71319b67cce9fdd6e509811d7441f21b3dc,1
SYNTH_REENTRANCY::00054::SyntheticReentrancy00054,SyntheticReentrancy00054,i:release54,release,train,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc::ve,i:withdraw,withdraw,transfer,shares3,4d29b25b02da04bcf4c30f83fbcc17c8d97c5470420f21a41bc48dc8c2ecb0b8,1
SYNTH_REENTRANCY::00055::SyntheticReentrancy00055,SyntheticReentrancy00055,i:exit55,exit,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::WETHGateway,i:openCreditAccountETH,openCreditAccountETH,call,stakes4,2abed072463632391df9b20795d1c6a7c04180dec9d557df83c2e2d6833e4696,1
SYNTH_REENTRANCY::00056::SyntheticReentrancy00056,SyntheticReentrancy00056,i:claim56,claim,val,DAPP::DAppSCAN-source/contracts/QuillAudits-GearBox Protocol-GearBox Protocol/gearbox-contracts-0ac33ba87212ce056ac6b6357ad74161d417158a::UniswapV3Adapter,i:exactOutput,exactOutput,transfer,claims5,52f9f2558634185979467ee7413a1932aeceb3c5c1cf6ca2631a6d4f17423f2c,1
SYNTH_REENTRANCY::00057::SyntheticReentrancy00057,SyntheticReentrancy00057,i:settle57,settle,val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::AlianaBase,i:setGeneScienceAddress,setGeneScienceAddress,send,escrowed6,0e21a2bee75c6f1379c8d4b93b11e816f096fa2f4d90d29762abc26bcaa7a916,1
SYNTH_REENTRANCY::00058::SyntheticReentrancy00058,SyntheticReentrancy00058,i:collect58,collect,val,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::AlianaOwnership,i:setGeneScienceAddress,setGeneScienceAddress,safeTransfer,payouts7,d9752b6cfb805735a2bc3a10e8608db0d959667cd3b5abb2386b972c19f53ee6,1
SYNTH_REENTRANCY::00059::SyntheticReentrancy00059,SyntheticReentrancy00059,i:harvest59,harvest,test,DAPP::DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee::PowerBombAvaxCurve,i:claimReward,claimReward,transfer,positions8,190d21d6d6c960686ff0a6c711b8e729ca81de05cf2e11119b6cb4a14d457dff,1
SYNTH_REENTRANCY::00060::SyntheticReentrancy00060,SyntheticReentrancy00060,i:withdraw60,withdraw,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Alium Finance Smart Contract/alium-farm-e37d6af39af68049c2684085f025385407b4bd55::MasterChef,i:emergencyWithdraw,emergencyWithdraw,call,balances9,ec21065fa4ffea8ca743be852ea92626396dbad647ce822fcdd4dd9a03a72bfe,1
SYNTH_REENTRANCY::00061::SyntheticReentrancy00061,SyntheticReentrancy00061,i:claimReward61,claimReward,train,DAPP::DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4::AdminImpl,i:_setPriceOracle,_setPriceOracle,transfer,credits10,a81b4f6d50bb544ef114bb7aef353bfd45c22ad9875c41d05e02bdd7380b2574,1
SYNTH_REENTRANCY::00062::SyntheticReentrancy00062,SyntheticReentrancy00062,i:refund62,refund,train,FORGE::vfp_00215::ScrollChainValidium,i:registerNewEncryptionKey,registerNewEncryptionKey,send,pendingRewards11,a63c47badfc439f00c0015c753e6ecd51997af6d27348cc299f7f44c0f980d23,1
SYNTH_REENTRANCY::00063::SyntheticReentrancy00063,SyntheticReentrancy00063,i:unstake63,unstake,train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishERC721Wrapper,i:mintTo,mintTo,safeTransfer,withdrawalRequests12,02949a3faedb4667ca2ce0f428cf7381f94d12cff05ae9ef9ce1ec5cbcc44204,1
SYNTH_REENTRANCY::00064::SyntheticReentrancy00064,SyntheticReentrancy00064,i:redeem64,redeem,val,DAPP::DAppSCAN-source/contracts/PeckShield-Tranchessv1.0/contract-core-5ac3d997da3ef37b0135565a11c5ebcc519862aa::LiquidityStaking,i:deposit,deposit,transfer,shares13,d1ca119435f36eda375251b2c84c529523d37010b134306b2dbd797db727a0e4,1
SYNTH_REENTRANCY::00065::SyntheticReentrancy00065,SyntheticReentrancy00065,i:payout65,payout,train,FORGE::vfp_00209::StakingManager,i:withdraw,withdraw,call,stakes14,9978440613fbc7a9700a479e659edb34f2a5d3a0913cf5c441b793aa30097af1,1
SYNTH_REENTRANCY::00066::SyntheticReentrancy00066,SyntheticReentrancy00066,i:release66,release,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-ampleforth/market-oracle-888fccaf05786f3f7f49e18ff040f911d44906f4::MarketOracle,i:getPriceAnd24HourVolume,getPriceAnd24HourVolume,transfer,claims15,de7ac61aade5bc21201d3d70352d37d69bb7462eb8e723cd74c5196a2fac9b81,1
SYNTH_REENTRANCY::00067::SyntheticReentrancy00067,SyntheticReentrancy00067,i:exit67,exit,train,DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::RToken,i:borrowFresh,borrowFresh,send,escrowed16,f83b33b02d4e553c59b2fcf4cafacb7186a9bbada12ceb635db971a35b954512,1
SYNTH_REENTRANCY::00068::SyntheticReentrancy00068,SyntheticReentrancy00068,i:claim68,claim,train,FORGE::vfp_00007::Folio,i:startRebalance,startRebalance,safeTransfer,payouts0,d7d2be18790b3a878f33a00f42ba0065b3c4e20c01608ea8720ab221da625188,1
SYNTH_REENTRANCY::00069::SyntheticReentrancy00069,SyntheticReentrancy00069,i:settle69,settle,val,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Tracer_Perpetual_Pools_V2/perpetual-pools-contracts-846bbf62652d7c83aee1cf3766275c4d08b00c8a::PoolFactory,i:deployPool,deployPool,transfer,positions1,81186ea1b50e0ca5cc0d8a69914770d3189d6fa11ea2e4129a7fb53172cdce7c,1
SYNTH_REENTRANCY::00070::SyntheticReentrancy00070,SyntheticReentrancy00070,i:collect70,collect,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::veFXSYieldDistributorV4,i:notifyRewardAmount,notifyRewardAmount,call,balances2,71b0e1972e33f0edc1cc4d8a8f10bd608f042e169826896d67a94817132f883f,1
