kind,severity,description,example_key,examples
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,fbd9875db397,"{""source_hash"": ""fbd9875db397"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::queue[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::queue[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::queue[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::queue[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlpha::queue[y=0] ; train:DAPP::DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c::GovernorAlphaCertora::queue[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,ac180f672737,"{""source_hash"": ""ac180f672737"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlpha::execute[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::GovernorAlphaCertora::execute[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlpha::execute[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::GovernorAlphaCertora::execute[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::GovernorAlpha::execute[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,9095de4a849c,"{""source_hash"": ""9095de4a849c"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::Timelock::executeTransaction[y=0] ; train:DAPP::DAppSCAN-source/contracts/QuillAudits-Bond Appetit-Bond Appetit/bondappetit-protocol-355180f0aca0b29d60d808f761052956b7a3a159::Timelock::executeTransaction[y=0] ; train:DAPP::DAppSCAN-source/contracts/PeckShield-DSG/core-6f607f77698936e132e4e9b5cb4d75580636d919::Timelock::executeTransaction[y=0] ; test:DAPP::DAppSCAN-source/contracts/PeckShield-TranchessV1.1/contract-core-68a86350313c1cb9e5467e791d3e9efaf228a0df::Timelock::executeTransaction[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,ec12093efc38,"{""source_hash"": ""ec12093efc38"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Factory::createPair[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Factory::createPair[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,2f43ddd27471,"{""source_hash"": ""2f43ddd27471"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::_safeTransfer[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Pair::_safeTransfer[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Pair::_safeTransfer[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::_safeTransfer[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,b9d74fcea6ed,"{""source_hash"": ""b9d74fcea6ed"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::_update[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Pair::_update[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Pair::_update[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::_update[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,ca9fd25b180d,"{""source_hash"": ""ca9fd25b180d"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::_mintFee[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Pair::_mintFee[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Pair::_mintFee[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::_mintFee[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,5f28a7bf097f,"{""source_hash"": ""5f28a7bf097f"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::burn[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::burn[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,05381977f153,"{""source_hash"": ""05381977f153"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::swap[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::swap[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,a04cd133c1a6,"{""source_hash"": ""a04cd133c1a6"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::skim[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::skim[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,ff56cd04ae68,"{""source_hash"": ""ff56cd04ae68"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Pair::sync[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-SushiSwap/sushiswap-180bc9b642bba79c1ee4a63f71a3a0d36e64aa63::UniswapV2Pair::sync[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,af88eb6e8c95,"{""source_hash"": ""af88eb6e8c95"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::removeLiquidityWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::removeLiquidityWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::removeLiquidityWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::removeLiquidityWithPermit[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::removeLiquidityWithPermit[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,055459cdb96c,"{""source_hash"": ""055459cdb96c"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::removeLiquidityETHWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::removeLiquidityETHWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::removeLiquidityETHWithPermit[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::removeLiquidityETHWithPermit[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::removeLiquidityETHWithPermit[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,5fd4eac1b7a8,"{""source_hash"": ""5fd4eac1b7a8"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::getAmountsOut[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::getAmountsOut[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::getAmountsOut[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::getAmountsOut[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::getAmountsOut[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,9acd8fef871b,"{""source_hash"": ""9acd8fef871b"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::getAmountsIn[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::getAmountsIn[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::getAmountsIn[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::getAmountsIn[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::getAmountsIn[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,df3cbd793794,"{""source_hash"": ""df3cbd793794"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::removeLiquidityETHWithPermitSupportingFeeOnTransferTokens[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::removeLiquidityETHWithPermitSupportingFeeOnTransferTokens[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::removeLiquidityETHWithPermitSupportingFeeOnTransferTokens[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::removeLiquidityETHWithPermitSupportingFeeOnTransferTokens[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::removeLiquidityETHWithPermitSupportingFeeOnTransferTokens[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,4d169f21dfd7,"{""source_hash"": ""4d169f21dfd7"", ""splits"": ""train|val"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::UniswapV2Router02::_addLiquidity[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02_Modified::_addLiquidity[y=0] ; train:DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxFinance/frax-solidity-3f0993a70e3496fd27887db7754d68709c84015e::UniswapV2Router02::_addLiquidity[y=0] ; train:DAPP::DAppSCAN-source/contracts/Inspex-StakingPool, Vault, Strategy & VotingEscrow/scientix-contract-main::UniswapV2Router02::_addLiquidity[y=0] ; val:DAPP::DAppSCAN-source/contracts/PeckShield-KaoyaSwap/contracts-8273073f1d6914f372790399378f177573c52e37::UniswapV2Router02::_addLiquidity[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,94ec08c83377,"{""source_hash"": ""94ec08c83377"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-Tranchessv1.0/contract-core-5ac3d997da3ef37b0135565a11c5ebcc519862aa::BscAprOracle::getVenusBorrowIndex[y=0] ; test:DAPP::DAppSCAN-source/contracts/PeckShield-TranchessV1.1/contract-core-68a86350313c1cb9e5467e791d3e9efaf228a0df::BscAprOracle::getVenusBorrowIndex[y=0]""}"
exact_duplicate_function_source_across_splits,MEDIUM,149 exact normalized interaction/function source hashes appear in multiple splits; 0 include at least one positive label.,52f688426a68,"{""source_hash"": ""52f688426a68"", ""splits"": ""test|train"", ""labels"": ""0"", ""examples"": ""train:DAPP::DAppSCAN-source/contracts/PeckShield-Tranchessv1.0/contract-core-5ac3d997da3ef37b0135565a11c5ebcc519862aa::AprOracle::getCompoundBorrowIndex[y=0] ; test:DAPP::DAppSCAN-source/contracts/PeckShield-TranchessV1.1/contract-core-68a86350313c1cb9e5467e791d3e9efaf228a0df::AprOracle::getCompoundBorrowIndex[y=0]""}"
