severity,issue,split,graph_id,source,project,contract,function,label,vulnerability_type,file,line,source_hash,state_count,external_call_count,external_methods,example_call,details
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit::HyksosCyberkongz,DAPP,DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit,HyksosCyberkongz,payErc20,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol,L35-37,79fe7ace93b8a83f,1,1,transfer,"erc20.transfer(_receiver, _amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit::HyksosCyberkongz,DAPP,DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit,HyksosCyberkongz,depositErc20,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol,L39-46,3168417fdba112d7,4,1,transferFrom,"erc20.transferFrom(msg.sender, address(this), _amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit::HyksosCyberkongz,DAPP,DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit,HyksosCyberkongz,withdrawErc20,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol,L48-54,6613d9c097e0313c,3,1,transfer,"erc20.transfer(msg.sender, _amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-Ground Zero/code::IDO,DAPP,DAppSCAN-source/contracts/Hacken-Ground Zero/code,IDO,claimTheInvestments,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,L153,1941c5d84f38fdd7,1,1,transfer,"token.transfer(msg.sender, amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::Governor,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,Governor,_queueOrRevert,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/governance/Governor.sol,L158 - L172,3d84aac03d972f34,1,1,queueTransaction,"timelock.queueTransaction(target, value, signature, data, eta)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::Governor,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,Governor,execute,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/governance/Governor.sol,L175 - L192,22fa57cef464726e,2,1,value,timelock.executeTransaction.value(proposal.values[i]),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::Governor,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,Governor,__queueSetTimelockPendingAdmin,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/governance/Governor.sol,L217 - L232,3cb122666a1e3db7,2,1,queueTransaction,"timelock.queueTransaction(             address(timelock),             0,             ""setPendingAdmin(address)"",",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::Governor,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,Governor,__executeSetTimelockPendingAdmin,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/governance/Governor.sol,L235 - L250,a007e542aa4b1281,2,1,executeTransaction,"timelock.executeTransaction(             address(timelock),             0,             ""setPendingAdmin(address)"",",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::CompoundStrategy,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,CompoundStrategy,liquidate,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/strategies/CompoundStrategy.sol,L79,b16f989a10d3a7fb,2,5,balanceOf|redeem|balanceOf|safeTransfer|balanceOf,cToken.balanceOf(address(this)),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,VaultCore,_redeem,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/vault/VaultCore.sol,L142 - L184,a788ad1ea7ec42a6,4,4,balanceOf|safeTransfer|withdraw|burn,asset.balanceOf(address(this)),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,VaultCore,_allocate,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/vault/VaultCore.sol,L210 - L293,4f82ff6225953d96,3,8,balanceOf|safeTransfer|deposit|rewardTokenAddress|rewardLiquidationThreshold|harvest|balanceOf|harvest,asset.balanceOf(address(this)),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultCore,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,VaultCore,rebase,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/vault/VaultCore.sol,L308 - L319,5e77edb6cfd8a3f2,2,4,totalSupply|totalSupply|changeSupply|postRebase,oUSD.totalSupply(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0::VaultAdmin,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0,VaultAdmin,_harvest,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Trail_of_Bits-OriginDollar/origin-dollar-81431fd3b2aa4c518ffc389844f9708c00b516f0/contracts/contracts/vault/VaultAdmin.sol,L266 - L298,86271fed8526a626,2,9,rewardTokenAddress|collectRewardToken|rewardTokenAddress|balanceOf|safeApprove|safeApprove|rewardTokenAddress|WETH|swapExactTokensForTokens,strategy.rewardTokenAddress(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Staking,DAPP,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de,Staking,deposit,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol,L80,acfc2598f2628f30,8,5,balanceOf|add|add|add|transferFrom,tngToken.balanceOf(msg.sender),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Staking,DAPP,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de,Staking,payTngReward,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol,L177,e2e4a6c6ba7b624d,2,1,transfer,"tngToken.transfer(_to, _pendingTng)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6::TimeLock,DAPP,DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6,TimeLock,release,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6/CitrusToken.sol,L132,0a912847b468b6b1,1,1,transfer,"BEP(address(this)).transfer(msg.sender, amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::OVM_L1ERC20Gateway,DAPP,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7,OVM_L1ERC20Gateway,_handleFinalizeWithdrawal,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/bridge/tokens/OVM_L1ERC20Gateway.sol,L100,5de203dbbd29f2fe,1,1,transfer,"l1ERC20.transfer(_to, _amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7::OVM_L1ERC20Gateway,DAPP,DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7,OVM_L1ERC20Gateway,_handleInitiateDeposit,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/bridge/tokens/OVM_L1ERC20Gateway.sol,L76-L81,1d97bc2713e34944,1,1,transferFrom,"l1ERC20.transferFrom(             _from,             address(this),             _amount         )",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5::AlianaMinting,DAPP,DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5,AlianaMinting,_depositFrom,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/SlowMist-Starcrazy Smart Contract Security Audit Report/starcrazy-contracts-e9e11d234ac065726e108a73dfcd5efbad26f2c5/contract/AlianaMinting.sol,L254,efbaccf33f0299e8,5,10,ownerOf|getAliana|sub|div|mul|transferFrom|add|add|div|mul,aliana.ownerOf(_tokenId),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/consensys-MCDEX_Mai_Protocol_V2/mai-protocol-v2-4b198083ec4ae2d6851e101fc44ea333eaa3cd92::AMM,DAPP,DAppSCAN-source/contracts/consensys-MCDEX_Mai_Protocol_V2/mai-protocol-v2-4b198083ec4ae2d6851e101fc44ea333eaa3cd92,AMM,mintShareTokenTo,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/consensys-MCDEX_Mai_Protocol_V2/mai-protocol-v2-4b198083ec4ae2d6851e101fc44ea333eaa3cd92/contracts/liquidity/AMM.sol,L500-502,a7912dd431bb58b5,1,1,mint,"shareToken.mint(guy, amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0::RollupProcessor,DAPP,DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0,RollupProcessor,_convert,0,,,,808c27c193704de1,4,1,delegatecall,address(bridgeProxy).delegatecall{gas: gas}(             abi.encodeWithSelector(                 DEFI_BRIDGE_PROXY_CONVE,Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0::ElementBridge,DAPP,DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0,ElementBridge,convert,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0/src/bridges/element/ElementBridge.sol,L463,4028dfd2eed600a0,6,5,unlockTimestamp|approve|swap|SingleSwap|FundManagement,tranche.unlockTimestamp(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,negative_contains_strong_low_level_call_pattern,train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FujiProtocol/fuji-protocol-933ea57b11889d87744efa23e95c90b7bf589402::Flasher,DAPP,DAppSCAN-source/contracts/Trail_of_Bits-FujiProtocol/fuji-protocol-933ea57b11889d87744efa23e95c90b7bf589402,Flasher,_initiateDyDxFlashLoan,0,,,,f541fc82b841ed2a,3,1,operate,"solo.operate(accountInfos, operations)",Negative interaction contains low-level call/delegatecall/send/staticcall signal.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yoracle.Link/yoracle.link-faf1309cbe7a05f70b338351315039eb8e5b9c09::Keep3rV1Oracle,DAPP,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yoracle.Link/yoracle.link-faf1309cbe7a05f70b338351315039eb8e5b9c09,Keep3rV1Oracle,_swap,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yoracle.Link/yoracle.link-faf1309cbe7a05f70b338351315039eb8e5b9c09/contracts/Keep3rV1Oracle.sol,L849,a37cc9bbd9ee92a8,3,3,approve|swapExactTokensForTokens|withdraw,"KP3R.approve(address(UNI), _amount)",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919::CompHelper,DAPP,DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919,CompHelper,enterMarket,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/actions/compound/helpers/CompHelper.sol,L27-138,2f22ec5b34f9917f,1,1,enterMarkets,IComptroller(COMPTROLLER_ADDR).enterMarkets(markets),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82::Strategy,DAPP,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82,Strategy,adjustPosition,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82/contracts/Strategy.sol,L400,48040c67ff9d6a48,1,4,withdrawAll|balanceOf|safeTransfer|deposit,lenders[lowest].withdrawAll(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82::Strategy,DAPP,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82,Strategy,manualAllocation,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82/contracts/Strategy.sol,L422,0863cb961e978b61,1,4,withdrawAll|balanceOf|safeTransfer|deposit,lenders[i].withdrawAll(),Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
HIGH,unchecked_call_positive_without_low_level_call_signal,train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82::GenericLenderBase,DAPP,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82,GenericLenderBase,sweep,1,Unchecked Call Return (SWC-104),DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Generic Lender/yearnV2-generic-lender-strat-979ef2f0e5da39ca59a5907c37ba2064fcd6be82/contracts/GenericLender/GenericLenderBase.sol,L56,39045b3fef8e0a34,1,3,transfer|governance|balanceOf,"IERC20(_token).transfer(vault.governance(), IERC20(_token).balanceOf(address(this)))",Unchecked-call positive lacks obvious .call/.send/delegatecall/staticcall signal in function/callee text.
